text,sentiment
"@Busyro_Muqoddas : Minoritas ekonomi kuat menguasai Mayoritas Ekonomi lemah, tidak pernah dibahas, inilah sumber radikal, miris #ILC @karnii",negative
"Pelayanannya lambat banget, sudah menunggu sejam lebih belum dilayani.",negatif
"Filmnya bikin ngantuk di paruh kedua, padahal awalnya seru.",negatif
"Alhamdulillah, #PilkadaDKI2017 keren, mancarli: aman lancar terkendali Tks Jakarta, sdh berikan hal menarik. Selamat u Gub-Wagub terpilih.",positive
"Ini kenapa ya filter nya bisa di pakai tapi efek filternya tidak ada tolong dong perbaiki, sudah instal berpa kali tapi bug nya tetap ada, jaringan tidak stabil lah, tolong ya di perbaiki",Negative
"Wah Mbak Rini hamil ya ?? Selamat ya mbak semoga kandungannya sehat"" aja & juga mbak rininya , makin bahagia di hamil yang pertama , dan semoga lancar di proses persalinannya nanti ????",positive
snow update ya?ko ngebug si?padahal jaringan stabil tpi pas mau nyoba filter ko malah disuruh coba lagi berkali kali trus juga filter gabisa disimpan. lebih bagus pas belum update gaada masalah apa apa. tolong diperbaiki lagi🙏🙏,Negative
parah banget hitam putih di Trans7. Ngomong sembarang. Yg merusak generasi muda acara kyk gini,negative
DEMAM Karangan Bunga Dukung Ahok-Djarot Menjalar hingga Siantar,positive
Polda Diminta Objektif Selidiki Kasus Sandiaga Uno http://merahputih.com/  #merahputih #sandiagauno #aniesSandi #jakarta,positive
Jangan kira skenario AHY cuma untuk menang Pilgub saja? AHY sudah pikirkan matang skenario jika kalah. Kalah pun dia menang sejatinya. <Smiling Face With Smiling Eyes> <Smiling Face With Smiling Eyes>,positive
Lagu nya baguss bggtt,Positive
"Sangat terkesan setelah mendengar salah satu dr mereka, jika saya adalah orang yg... maju terus hitam putih semoga sukses slalu",positive
"Kompatibilitas-nya luas, bisa dipakai dengan berbagai device lain.",positif
"barang nya keren pollll, lovvv bnget mascara barenblisss ini",Positive
Seru ya kalo sefrekuensi,Positive
Untuk bpk@basuki_btp terima kasih untuk perjuanganmu selama 5 tahun terakhir. Kami akan terus mendukungmu terbang lebih tinggi lagi.#pilkada,positive
Beruntungnya tidak terlalu sulit untuk dipahami,positif
"Kalo Ahok kalah, Anies-Sandi menang? Paling juga Jakarta akan seperti dulu lagi, saling rukun, koruptornya <grining face with smile eye> <grining face with smile eye> <Lying Face> <Lying Face> #PilkadaDKI",negative
Jarigan <PROVIDER_NAME> lelet. Karena gangguan atau rusak ya,negative
Weewww bangga kali ak liatnya bang  <USERNAME> pake baju adat karo.... Syip,positive
anj baru juga liat pocong di atas sekarang dah kaget lagi🗿,Negative
Acara hitam putih di trans7 topiknya bagus nih. Ttg Kepribadian ganda.,positive
"Ko apk snow gk bisa di pake buat foto lagi sih?...,Malah layarnya jadi hitam padahal dulu gk gini dan bisa di pakai untuk foto tpi sekarang malah gk bisa buat foto",Negative
Alhamdulillah Kuota <PROVIDER_NAME> banyak yang murah,positive
demi apapun ya kick andy sekarang botak?  #kickandymetrotv,negative
modelnya keren .,Positive
"#PilkadaDKI2017 Anies Sandi Gubetnur Baru, Selamat Bekerja, Semoga amanah dan Istiqomah janji janjinya, amien ya robbal allamin",positive
